"","Date","Province.State","Country","Lat","Long","Confirmed","Recovered","Deaths","Active"
"49662",2020-12-13,"Macau","China",22.1667,113.55,46,46,0,0
"49663",2020-12-13,"Ningxia","China",37.2692,106.1655,75,75,0,0
"49664",2020-12-13,"Qinghai","China",35.7452,95.9956,18,18,0,0
"49665",2020-12-13,"Shaanxi","China",35.1917,108.8701,502,482,3,17
"49666",2020-12-13,"Shandong","China",36.3427,118.1498,858,841,7,10
"49667",2020-12-13,"Shanghai","China",31.202,121.4491,1412,1313,7,92
"49668",2020-12-13,"Shanxi","China",37.5777,112.2922,222,218,0,4
"49669",2020-12-13,"Sichuan","China",30.6171,102.7103,832,792,3,37
"49670",2020-12-13,"Tianjin","China",39.3054,117.323,302,295,3,4
"49671",2020-12-13,"Tibet","China",31.6927,88.0924,1,1,0,0
"49672",2020-12-13,"Xinjiang","China",41.1129,85.2401,980,977,3,0
"49673",2020-12-13,"Yunnan","China",24.974,101.487,224,210,2,12
"49674",2020-12-13,"Zhejiang","China",29.1832,120.0934,1297,1290,1,6
"49675",2020-12-13,"","Colombia",4.5709,-74.2973,1425774,1314836,39053,71885
"49676",2020-12-13,"","Comoros",-11.6455,43.3333,628,606,7,15
"49677",2020-12-13,"","Congo (Brazzaville)",-0.228,15.8277,6049,4988,99,962
"49678",2020-12-13,"","Congo (Kinshasa)",-4.0383,21.7587,14461,12465,352,1644
"49679",2020-12-13,"","Costa Rica",9.7489,-83.7534,150947,112622,1895,36430
"49680",2020-12-13,"","Cote d'Ivoire",7.54,-5.5471,21680,21298,133,249
"49681",2020-12-13,"","Croatia",45.1,15.2,175886,148211,2640,25035
"49682",2020-12-13,"","Cuba",21.521757,-77.781167,9423,8434,137,852
"49683",2020-12-13,"","Cyprus",35.1264,33.4299,15101,2057,78,12966
"49684",2020-12-13,"","Czechia",49.8175,15.473,579079,504666,9535,64878
"49685",2020-12-13,"Faroe Islands","Denmark",61.8926,-6.9118,528,506,0,22
"49686",2020-12-13,"Greenland","Denmark",71.7069,-42.6043,19,18,0,1
"49687",2020-12-13,"","Denmark",56.2639,9.5018,109758,79394,941,29423
"49688",2020-12-13,"","Diamond Princess",0,0,712,699,13,0
"49689",2020-12-13,"","Djibouti",11.8251,42.5903,5728,5618,61,49
"49690",2020-12-13,"","Dominica",15.415,-61.371,88,83,0,5
"49691",2020-12-13,"","Dominican Republic",18.7357,-70.1627,154692,120481,2361,31850
"49692",2020-12-13,"","Ecuador",-1.8312,-78.1834,202110,177951,13875,10284
"49693",2020-12-13,"","Egypt",26.820553,30.802498,121575,104875,6920,9780
"49694",2020-12-13,"","El Salvador",13.7942,-88.8965,41394,37667,1200,2527
"49695",2020-12-13,"","Equatorial Guinea",1.6508,10.2679,5185,5058,85,42
"49696",2020-12-13,"","Eritrea",15.1794,39.7823,711,564,0,147
"49697",2020-12-13,"","Estonia",58.5953,25.0136,18055,11037,149,6869
"49698",2020-12-13,"","Eswatini",-26.5225,31.4659,6768,6379,127,262
"49699",2020-12-13,"","Ethiopia",9.145,40.4897,116769,93890,1806,21073
"49700",2020-12-13,"","Fiji",-17.7134,178.065,46,38,2,6
"49701",2020-12-13,"","Finland",61.92411,25.748151,30810,20000,453,10357
"49702",2020-12-13,"French Guiana","France",3.9339,-53.1258,11800,9995,71,1734
"49703",2020-12-13,"French Polynesia","France",-17.6797,149.4068,15618,4842,91,10685
"49704",2020-12-13,"Guadeloupe","France",16.265,-61.551,8451,2242,152,6057
"49705",2020-12-13,"Martinique","France",14.6415,-61.0242,5553,98,41,5414
"49706",2020-12-13,"Mayotte","France",-12.8275,45.166244,5551,2964,52,2535
"49707",2020-12-13,"New Caledonia","France",-20.904305,165.618042,36,32,0,4
"49708",2020-12-13,"Reunion","France",-21.1151,55.5364,8345,8037,41,267
"49709",2020-12-13,"Saint Barthelemy","France",17.9,-62.8333,162,127,1,34
"49710",2020-12-13,"Saint Pierre and Miquelon","France",46.8852,-56.3159,14,14,0,0
"49711",2020-12-13,"St Martin","France",18.0708,-63.0501,801,675,12,114
"49712",2020-12-13,"","France",46.2276,2.2137,2376228,153659,57554,2165015
"49713",2020-12-13,"","Gabon",-0.8037,11.6094,9330,9182,63,85
"49714",2020-12-13,"","Gambia",13.4432,-15.3101,3782,3647,123,12
"49715",2020-12-13,"","Georgia",42.3154,43.3569,189726,158183,1790,29753
"49716",2020-12-13,"","Germany",51.165691,10.451526,1350810,990707,22106,337997
"49717",2020-12-13,"","Ghana",7.9465,-1.0232,52933,51676,327,930
"49718",2020-12-13,"","Greece",39.0742,21.8243,124534,23074,3625,97835
"49719",2020-12-13,"","Grenada",12.1165,-61.679,69,41,0,28
"49720",2020-12-13,"","Guatemala",15.7835,-90.2308,129282,117923,4423,6936
"49721",2020-12-13,"","Guinea",9.9456,-9.6966,13420,12657,79,684
"49722",2020-12-13,"","Guinea-Bissau",11.8037,-15.1804,2444,2337,44,63
"49723",2020-12-13,"","Guyana",4.860416,-58.93018,5920,5073,155,692
"49724",2020-12-13,"","Haiti",18.9712,-72.2852,9491,8241,233,1017
"49725",2020-12-13,"","Holy See",41.9029,12.4534,27,15,0,12
"49726",2020-12-13,"","Honduras",15.2,-86.2419,114359,51478,2975,59906
"49727",2020-12-13,"","Hungary",47.1625,19.5033,280400,80752,6965,192683
"49728",2020-12-13,"","Iceland",64.9631,-19.0208,5557,5366,28,163
"49729",2020-12-13,"","India",20.593684,78.96288,9884100,9388159,143355,352586
"49730",2020-12-13,"","Indonesia",-0.7893,113.9213,617820,505836,18819,93165
"49731",2020-12-13,"","Iran",32.427908,53.688046,1108269,812270,52196,243803
"49732",2020-12-13,"","Iraq",33.223191,43.679291,574634,507446,12579,54609
"49733",2020-12-13,"","Ireland",53.1424,-7.6921,76185,23364,2124,50697
"49734",2020-12-13,"","Israel",31.046051,34.851612,357176,337186,2999,16991
"49735",2020-12-13,"","Italy",41.87194,12.56738,1843712,1093161,64520,686031
"49736",2020-12-13,"","Jamaica",18.1096,-77.2975,11710,7954,273,3483
"49737",2020-12-13,"","Japan",36.204824,138.252924,180639,149130,2481,29028
"49738",2020-12-13,"","Jordan",31.24,36.51,259614,218467,3365,37782
"49739",2020-12-13,"","Kazakhstan",48.0196,66.9237,186277,157701,2552,26024
"49740",2020-12-13,"","Kenya",-0.0236,37.9062,91892,73028,1587,17277
"49741",2020-12-13,"","Korea, South",35.907757,127.766922,43484,32102,587,10795
"49742",2020-12-13,"","Kosovo",42.602636,20.902977,46580,33600,1198,11782
"49743",2020-12-13,"","Kuwait",29.31166,47.481766,146218,142094,911,3213
"49744",2020-12-13,"","Kyrgyzstan",41.20438,74.766098,77356,70450,1312,5594
"49745",2020-12-13,"","Laos",19.85627,102.495496,41,33,0,8
"49746",2020-12-13,"","Latvia",56.8796,24.6032,25675,16778,349,8548
"49747",2020-12-13,"","Lebanon",33.8547,35.8623,146520,101334,1200,43986
